Тип	Кадастровый номер	Адрес	Площадь	Кадастровая стоимость
трехкомнатная квартира	59:01:2118001:1521	г Пермь, ул Академика Королева, д. 8, 68	63.2 кв.м.	2 993 134 руб.
трехкомнатная квартира	59:01:2118001:1499	г Пермь, ул Академика Королева, д. 8, 48	55.2 кв.м.	2 740 256 руб.
двухкомнатная квартира	59:01:2118001:1468	г Пермь, ул Академика Королева, д. 8, 2	52.5 кв.м.	2 650 482 руб.
комната в квартире 	59:01:2118001:1627	г Пермь, ул Академика Королева, д. 8, 59	20.1 кв.м.	540 698 руб.
двухкомнатная квартира	59:01:2118001:1442	г Пермь, ул Академика Королева, д. 8, 11	52.8 кв.м.	2 660 577 руб.
четырехкомнатная квартира	59:01:2118001:1461	г Пермь, ул Академика Королева, д. 8, 13	78 кв.м.	3 417 839 руб.
трехкомнатная квартира	59:01:2118001:1479	г Пермь, ул Академика Королева, д. 8, 3	62.6 кв.м.	2 974 798 руб.
нежилое помещение	59:01:2118001:1824	г Пермь, ул Академика Королева, д. 8	79.9 кв.м.	462 852 руб.
четырехкомнатная квартира	59:01:2118001:1454	г Пермь, ул Академика Королева, д. 8, 120	81.3 кв.м.	3 506 142 руб.
трехкомнатная квартира	59:01:2118001:1520	г Пермь, ул Академика Королева, д. 8, 67	63 кв.м.	2 995 670 руб.
квартира 	59:01:2118001:1448	г Пермь, ул Академика Королева, д. 8, 115	62.3 кв.м.	2 961 310 руб.
трехкомнатная квартира	59:01:2118001:1466	г Пермь, ул Академика Королева, д. 8, 18	63.8 кв.м.	3 011 373 руб.
двухкомнатная квартира	59:01:2118001:1469	г Пермь, ул Академика Королева, д. 8, 20	52.6 кв.м.	2 653 851 руб.
трехкомнатная квартира	59:01:2118001:1486	г Пермь, ул Академика Королева, д. 8, 36	63.8 кв.м.	3 011 373 руб.
двухкомнатная квартира	59:01:2118001:1484	г Пермь, ул Академика Королева, д. 8, 34	52.3 кв.м.	2 643 736 руб.
двухкомнатная квартира	59:01:2118001:1537	г Пермь, ул Академика Королева, д. 8, 82	54.3 кв.м.	2 710 597 руб.
двухкомнатная квартира	59:01:2118001:1483	г Пермь, ул Академика Королева, д. 8, 33	49.8 кв.м.	2 368 943 руб.
двухкомнатная квартира	59:01:2118001:1439	г Пермь, ул Академика Королева, д. 8, 107	54.3 кв.м.	2 710 597 руб.
трехкомнатная квартира	59:01:2118001:1555	г Пермь, ул Академика Королева, д. 8, 99	64.7 кв.м.	3 038 557 руб.
четырехкомнатная квартира	59:01:2118001:1444	г Пермь, ул Академика Королева, д. 8, 111	80.2 кв.м.	3 476 939 руб.
двухкомнатная квартира	59:01:2118001:1488	г Пермь, ул Академика Королева, д. 8, 38	48.9 кв.м.	2 322 396 руб.
двухкомнатная квартира	59:01:2118001:1524	г Пермь, ул Академика Королева, д. 8, 70	52.8 кв.м.	2 660 577 руб.
трехкомнатная квартира	59:01:2118001:1485	г Пермь, ул Академика Королева, д. 8, 35	63.2 кв.м.	2 993 134 руб.
двухкомнатная квартира	59:01:2118001:1500	г Пермь, ул Академика Королева, д. 8, 49	54.2 кв.м.	2 707 286 руб.
двухкомнатная квартира	59:01:2118001:1465	г Пермь, ул Академика Королева, д. 8, 17	52.8 кв.м.	2 660 577 руб.
комната с частью вспомогательных помещений	59:01:2118001:1814	г Пермь, ул Академика Королева, д. 8, 105	17.9 кв.м.	759 106 руб.
двухкомнатная квартира	59:01:2118001:1534	г Пермь, ул Академика Королева, д. 8, 8	51.8 кв.м.	2 626 810 руб.
двухкомнатная квартира	59:01:2118001:1501	г Пермь, ул Академика Королева, д. 8, 5	51.2 кв.м.	2 606 384 руб.
четырехкомнатная квартира	59:01:2118001:1471	г Пермь, ул Академика Королева, д. 8, 22	78.4 кв.м.	3 428 655 руб.
двухкомнатная квартира	59:01:2118001:1546	г Пермь, ул Академика Королева, д. 8, 90	57.2 кв.м.	2 805 248 руб.
четырехкомнатная квартира	59:01:2118001:1460	г Пермь, ул Академика Королева, д. 8, 126	79.4 кв.м.	3 455 557 руб.
двухкомнатная квартира	59:01:2118001:1536	г Пермь, ул Академика Королева, д. 8, 81	54.9 кв.м.	2 730 399 руб.
четырехкомнатная квартира	59:01:2118001:1447	г Пермь, ул Академика Королева, д. 8, 114	81.3 кв.м.	3 506 142 руб.
двухкомнатная квартира	59:01:2118001:1518	г Пермь, ул Академика Королева, д. 8, 65	53.5 кв.м.	2 684 013 руб.
четырехкомнатная квартира	59:01:2118001:1440	г Пермь, ул Академика Королева, д. 8, 108	81.5 кв.м.	3 511 427 руб.
четырехкомнатная квартира	59:01:2118001:1490	г Пермь, ул Академика Королева, д. 8, 4	77.8 кв.м.	3 412 419 руб.
четырехкомнатная квартира	59:01:2118001:1474	г Пермь, ул Академика Королева, д. 8, 25	78.2 кв.м.	3 423 251 руб.
двухкомнатная квартира	59:01:2118001:1510	г Пермь, ул Академика Королева, д. 8, 58	53.3 кв.м.	2 677 334 руб.
четырехкомнатная квартира	59:01:2118001:1457	г Пермь, ул Академика Королева, д. 8, 123	79.4 кв.м.	3 455 557 руб.
трехкомнатная квартира	59:01:2118001:1470	г Пермь, ул Академика Королева, д. 8, 21	64 кв.м.	3 017 432 руб.
трехкомнатная квартира	59:01:2118001:1481	г Пермь, ул Академика Королева, д. 8, 31	64.1 кв.м.	3 020 458 руб.
трёхкомнатная квартира	59:01:2118001:1698	г Пермь, ул Академика Королева, д. 8, 124	62.7 кв.м.	2 977 861 руб.
трехкомнатная квартира	59:01:2118001:1498	г Пермь, ул Академика Королева, д. 8, 47	64.7 кв.м.	3 038 557 руб.
трехкомнатная квартира	59:01:2118001:1539	г Пермь, ул Академика Королева, д. 8, 84	61.3 кв.м.	2 901 872 руб.
квартира 	59:01:2118001:368	г Пермь, ул Академика Королева, д. 14, 50	68.6 кв.м.	2 340 441 руб.
трехкомнатная квартира	59:01:2118001:1688	г Пермь, ул Академика Королева, д. 14, 18	65.1 кв.м.	3 056 508 руб.
квартира 	59:01:2118001:305	г Пермь, ул Академика Королева, д. 14, 68	34.9 кв.м.	1 193 990 руб.
трехкомнатная квартира	59:01:2118001:391	г Пермь, ул Академика Королева, д. 14, 90	69.3 кв.м.	2 225 806 руб.
квартира 	59:01:2118001:383	г Пермь, ул Академика Королева, д. 14, 83	68.4 кв.м.	2 340 083 руб.
квартира 	59:01:2118001:290	г Пермь, ул Академика Королева, д. 14, 52	34.8 кв.м.	1 187 279 руб.
трехкомнатная квартира	59:01:2118001:247	г Пермь, ул Академика Королева, д. 14, 17	67.8 кв.м.	2 195 163 руб.
трёхкомнатная квартира	59:01:2118001:382	г Пермь, ул Академика Королева, д. 14, 82	69.3 кв.м.	2 225 806 руб.
четырехкомнатная квартира	59:01:2118001:284	г Пермь, ул Академика Королева, д. 14, 25	84.9 кв.м.	2 524 402 руб.
квартира 	59:01:2118001:388	г Пермь, ул Академика Королева, д. 14, 88	34.7 кв.м.	1 187 147 руб.
однокомнатная квартира	59:01:2118001:325	г Пермь, ул Академика Королева, д. 14, 116	35.8 кв.м.	1 425 248 руб.
однокомнатная квартира	59:01:2118001:254	г Пермь, ул Академика Королева, д. 14, 104	37.7 кв.м.	1 478 996 руб.
трехкомнатная квартира	59:01:2118001:283	г Пермь, ул Академика Королева, д. 14, 24	66.2 кв.м.	2 273 989 руб.
трехкомнатная квартира	59:01:2118001:359	г Пермь, ул Академика Королева, д. 14, 42	69.4 кв.м.	2 227 835 руб.
трехкомнатная квартира	59:01:2118001:367	г Пермь, ул Академика Королева, д. 14, 5	67.8 кв.м.	2 195 163 руб.
двухкомнатная квартира	59:01:2118001:259	г Пермь, ул Академика Королева, д. 14, 109	54.8 кв.м.	1 868 576 руб.
трехкомнатная квартира	59:01:2118001:248	г Пермь, ул Академика Королева, д. 14, 51	69 кв.м.	2 219 707 руб.
двухкомнатная квартира	59:01:2118001:353	г Пермь, ул Академика Королева, д. 14, 37	55.4 кв.м.	1 926 045 руб.
трёхкомнатная квартира	59:01:2118001:252	г Пермь, ул Академика Королева, д. 14, 102	68.2 кв.м.	2 268 638 руб.
трехкомнатная квартира	59:01:2118001:386	г Пермь, ул Академика Королева, д. 14, 86	68.9 кв.м.	2 217 671 руб.
однокомнатная квартира	59:01:2118001:352	г Пермь, ул Академика Королева, д. 14, 36	35.9 кв.м.	1 428 110 руб.
трёхкомнатная квартира	59:01:2118001:347	г Пермь, ул Академика Королева, д. 14, 31	68.2 кв.м.	2 203 372 руб.
трехкомнатная квартира	59:01:2118001:355	г Пермь, ул Академика Королева, д. 14, 39	69 кв.м.	2 219 707 руб.
трехкомнатная квартира	59:01:2118001:275	г Пермь, ул Академика Королева, д. 14, 146	68.8 кв.м.	2 287 943 руб.
квартира 	59:01:2118001:293	г Пермь, ул Академика Королева, д. 14, 56	34.8 кв.м.	1 190 569 руб.
трехкомнатная квартира	59:01:2118001:336	г Пермь, ул Академика Королева, д. 14, 126	68.9 кв.м.	2 217 671 руб.
четырехкомнатная квартира	59:01:2118001:340	г Пермь, ул Академика Королева, д. 14, 13	82.9 кв.м.	2 487 982 руб.
трехкомнатная квартира	59:01:2118001:380	г Пермь, ул Академика Королева, д. 14, 8	67.8 кв.м.	2 195 163 руб.
трехкомнатная квартира	59:01:2118001:277	г Пермь, ул Академика Королева, д. 14, 18	70.4 кв.м.	2 248 041 руб.
трёхкомнатная квартира	59:01:2118001:323	г Пермь, ул Академика Королева, д. 14, 114	68.2 кв.м.	2 203 372 руб.
квартира	59:01:2118001:1713	г Пермь, ул Академика Королева, д. 14, 148	34 кв.м.	1 441 878 руб.
однокомнатная квартира	59:01:2118001:258	г Пермь, ул Академика Королева, д. 14, 108	34.7 кв.м.	1 183 895 руб.
квартира 	59:01:2118001:273	г Пермь, ул Академика Королева, д. 14, 144	34.8 кв.м.	1 187 279 руб.
трехкомнатная квартира	59:01:2118001:333	г Пермь, ул Академика Королева, д. 14, 123	69.6 кв.м.	2 231 889 руб.
двухкомнатная квартира	59:01:2118001:335	г Пермь, ул Академика Королева, д. 14, 125	55.2 кв.м.	1 921 448 руб.
квартира 	59:01:2118001:291	г Пермь, ул Академика Королева, д. 14, 54	68.6 кв.м.	2 346 925 руб.
трёхкомнатная квартира	59:01:2118001:354	г Пермь, ул Академика Королева, д. 14, 38	69.7 кв.м.	2 233 914 руб.
двухкомнатная квартира	59:01:2118001:385	г Пермь, ул Академика Королева, д. 14, 85	55.8 кв.м.	1 935 212 руб.
здание центрального теплового пункта	59:01:2118001:70	г Пермь, ул Академика Королева, д. 14	307.7 кв.м.	920 011 руб.
квартира 	59:01:2118001:267	г Пермь, ул Академика Королева, д. 14, 138	68.9 кв.м.	2 350 676 руб.
двухкомнатная квартира	59:01:2118001:381	г Пермь, ул Академика Королева, д. 14, 81	55.8 кв.м.	1 935 212 руб.
квартира 	59:01:2118001:274	г Пермь, ул Академика Королева, д. 14, 145	53.8 кв.м.	1 835 506 руб.
трехкомнатная квартира	59:01:2118001:324	г Пермь, ул Академика Королева, д. 14, 115	69.2 кв.м.	2 223 775 руб.
квартира 	59:01:2118001:244	г Пермь, ул Академика Королева, д. 14, 147	68.5 кв.м.	2 337 029 руб.
однокомнатная квартира	59:01:2118001:361	г Пермь, ул Академика Королева, д. 14, 44	35.9 кв.м.	1 428 110 руб.
двухкомнатная квартира	59:01:2118001:362	г Пермь, ул Академика Королева, д. 14, 45	55.4 кв.м.	1 926 045 руб.
однокомнатная квартира	59:01:2118001:372	г Пермь, ул Академика Королева, д. 14, 72	34.7 кв.м.	1 393 513 руб.
трехкомнатная квартира	59:01:2118001:263	г Пермь, ул Академика Королева, д. 14, 134	70 кв.м.	2 239 978 руб.
квартира	59:01:2118001:1660	г Пермь, ул Академика Королева, д. 14, 76	34.2 кв.м.	1 917 914 руб.
трехкомнатная квартира	59:01:2118001:272	г Пермь, ул Академика Королева, д. 14, 143	69.4 кв.м.	2 227 835 руб.
трёхкомнатная квартира	59:01:2118001:317	г Пермь, ул Академика Королева, д. 14, 1	71 кв.м.	2 260 087 руб.
двухкомнатная квартира	59:01:2118001:294	г Пермь, ул Академика Королева, д. 14, 57	57.1 кв.м.	1 964 762 руб.
трехкомнатная квартира	59:01:2118001:343	г Пермь, ул Академика Королева, д. 14, 15	70.4 кв.м.	2 248 041 руб.
трехкомнатная квартира	59:01:2118001:319	г Пермь, ул Академика Королева, д. 14, 11	67.8 кв.м.	2 195 163 руб.
квартира 	59:01:2118001:292	г Пермь, ул Академика Королева, д. 14, 55	67.2 кв.м.	2 299 029 руб.
двухкомнатная квартира	59:01:2118001:339	г Пермь, ул Академика Королева, д. 14, 129	57.1 кв.м.	1 964 762 руб.
трехкомнатная квартира	59:01:2118001:351	г Пермь, ул Академика Королева, д. 14, 35	69 кв.м.	2 219 707 руб.
двухкомнатная квартира	59:01:2118001:358	г Пермь, ул Академика Королева, д. 14, 41	55.4 кв.м.	1 926 045 руб.
однокомнатная квартира	59:01:2118001:376	г Пермь, ул Академика Королева, д. 14, 76	35.8 кв.м.	1 425 248 руб.
двухкомнатная квартира	59:01:2118001:331	г Пермь, ул Академика Королева, д. 14, 121	55 кв.м.	1 916 842 руб.
квартира	59:01:2118001:1656	г Пермь, ул Академика Королева, д. 14, 142	69 кв.м.	3 087 321 руб.
двухкомнатная квартира	59:01:2118001:349	г Пермь, ул Академика Королева, д. 14, 33	54.3 кв.м.	1 900 652 руб.
двухкомнатная квартира	59:01:2118001:255	г Пермь, ул Академика Королева, д. 14, 105	53.7 кв.м.	1 844 708 руб.
однокомнатная квартира	59:01:2118001:261	г Пермь, ул Академика Королева, д. 14, 132	37.5 кв.м.	1 473 400 руб.
трехкомнатная квартира	59:01:2118001:257	г Пермь, ул Академика Королева, д. 14, 107	69.6 кв.м.	2 231 889 руб.
квартира	59:01:2118001:334	г Пермь, ул АКАДЕМИКА КОРОЛЕВА, д. 14, 124	34.7 кв.м.	1 153 657 руб.
четырехкомнатная квартира	59:01:2118001:318	г Пермь, ул Академика Королева, д. 14, 10	80 кв.м.	2 434 265 руб.
квартира	59:01:2118001:1655	г Пермь, ул Академика Королева, д. 14, 61	54.3 кв.м.	2 643 556 руб.
двухкомнатная квартира	59:01:2118001:302	г Пермь, ул Академика Королева, д. 14, 65	57 кв.м.	1 962 501 руб.
квартира 	59:01:2118001:310	г Пермь, ул Академика Королева, д. 14, 93	54.7 кв.м.	1 871 382 руб.
трехкомнатная квартира	59:01:2118001:288	г Пермь, ул Академика Королева, д. 14, 29	67.8 кв.м.	2 195 163 руб.
двухкомнатная квартира	59:01:2118001:298	г Пермь, ул Академика Королева, д. 14, 61	57.1 кв.м.	1 964 762 руб.
двухкомнатная квартира	59:01:2118001:245	г Пермь, ул Академика Королева, д. 14, 149	54.1 кв.м.	1 798 137 руб.
квартира 	59:01:2118001:369	г Пермь, ул Академика Королева, д. 14, 6	67.6 кв.м.	2 312 714 руб.
двухкомнатная квартира	59:01:2118001:266	г Пермь, ул Академика Королева, д. 14, 137	56.9 кв.м.	1 960 239 руб.
четырехкомнатная квартира	59:01:2118001:278	г Пермь, ул Академика Королева, д. 14, 19	82.9 кв.м.	2 487 982 руб.
однокомнатная квартира	59:01:2118001:384	г Пермь, ул Академика Королева, д. 14, 84	35.8 кв.м.	1 425 248 руб.
квартира 	59:01:2118001:309	г Пермь, ул Академика Королева, д. 14, 92	34.7 кв.м.	1 187 147 руб.
трехкомнатная квартира	59:01:2118001:378	г Пермь, ул Академика Королева, д. 14, 78	68.2 кв.м.	2 266 266 руб.
трехкомнатная квартира	59:01:2118001:271	г Пермь, ул Академика Королева, д. 14, 142	70.1 кв.м.	2 241 996 руб.
однокомнатная квартира	59:01:2118001:276	г Пермь, ул Академика Королева, д. 14, 148	37.4 кв.м.	1 470 596 руб.
трёхкомнатная квартира	59:01:2118001:327	г Пермь, ул Академика Королева, д. 14, 118	69.7 кв.м.	2 233 914 руб.
квартира 	59:01:2118001:279	г Пермь, ул Академика Королева, д. 14, 20	66.7 кв.м.	2 275 618 руб.
газопровод среднего давления по ул. академика королева, 	59:01:2118001:86	г Пермь, ул Академика Королева, д. 14	0 кв.м.	3 077 807 руб.
однокомнатная квартира	59:01:2118001:321	г Пермь, ул Академика Королева, д. 14, 112	35.1 кв.м.	1 405 107 руб.
трёхкомнатная квартира	59:01:2118001:320	г Пермь, ул Академика Королева, д. 14, 111	68.6 кв.м.	2 211 553 руб.
трёхкомнатная квартира	59:01:2118001:350	г Пермь, ул Академика Королева, д. 14, 34	68.4 кв.м.	2 207 465 руб.
двухкомнатная квартира	59:01:2118001:326	г Пермь, ул Академика Королева, д. 14, 117	55.4 кв.м.	1 926 045 руб.
квартира 	59:01:2118001:282	г Пермь, ул Академика Королева, д. 14, 23	66.7 кв.м.	2 275 618 руб.
трехкомнатная квартира	59:01:2118001:337	г Пермь, ул Академика Королева, д. 14, 127	69.4 кв.м.	2 227 835 руб.
квартира 	59:01:2118001:313	г Пермь, ул Академика Королева, д. 14, 96	34.7 кв.м.	1 187 147 руб.
однокомнатная квартира	59:01:2118001:373	г Пермь, ул Академика Королева, д. 14, 73	35.2 кв.м.	1 407 996 руб.
однокомнатная квартира	59:01:2118001:338	г Пермь, ул Академика Королева, д. 14, 128	37.5 кв.м.	1 473 400 руб.
трехкомнатная квартира	59:01:2118001:285	г Пермь, ул Академика Королева, д. 14, 26	67.8 кв.м.	2 195 163 руб.
трехкомнатная квартира	59:01:2118001:312	г Пермь, ул Академика Королева, д. 14, 95	68.7 кв.м.	2 213 594 руб.
четырехкомнатная квартира	59:01:2118001:356	г Пермь, ул Академика Королева, д. 14, 4	83.1 кв.м.	2 491 647 руб.
квартира 	59:01:2118001:304	г Пермь, ул Академика Королева, д. 14, 67	67.7 кв.м.	2 316 135 руб.
трехкомнатная квартира	59:01:2118001:363	г Пермь, ул Академика Королева, д. 14, 46	69.7 кв.м.	2 233 914 руб.
квартира 	59:01:2118001:370	г Пермь, ул Академика Королева, д. 14, 7	79.7 кв.м.	2 726 676 руб.
кватрира 	59:01:2118001:253	г Пермь, ул Академика Королева, д. 14, 103	68.4 кв.м.	2 333 617 руб.
квартира	59:01:2118001:1658	г Пермь, ул Академика Королева, д. 14, 107	68.4 кв.м.	3 070 294 руб.
квартира 	59:01:2118001:249	г Пермь, ул Академика Королева, д. 14, 53	54.3 кв.м.	1 852 565 руб.
трехкомнатная квартира	59:01:2118001:329	г Пермь, ул Академика Королева, д. 14, 12	67.9 кв.м.	2 197 218 руб.
квартира	59:01:2118001:1659	г Пермь, ул Академика Королева, д. 14, 123	68.1 кв.м.	3 061 749 руб.
квартира 	59:01:2118001:366	г Пермь, ул Академика Королева, д. 14, 49	54.3 кв.м.	1 852 565 руб.
трёхкомнатная квартира	59:01:2118001:371	г Пермь, ул Академика Королева, д. 14, 71	67.4 кв.м.	2 186 928 руб.
квартира -	59:01:2118001:379	г Пермь, ул Академика Королева, д. 14, 79-80	106.5 кв.м.	3 643 550 руб.
трехкомнатная квартира	59:01:2118001:246	г Пермь, ул Академика Королева, д. 14, 150	68.4 кв.м.	2 273 489 руб.
квартира 	59:01:2118001:314	г Пермь, ул Академика Королева, д. 14, 97	54.7 кв.м.	1 871 382 руб.
однокомнатная квартира	59:01:2118001:357	г Пермь, ул Академика Королева, д. 14, 40	35.9 кв.м.	1 428 110 руб.
трёхкомнатная квартира	59:01:2118001:346	г Пермь, ул Академика Королева, д. 14, 3	65.5 кв.м.	2 147 434 руб.
квартира 	59:01:2118001:301	г Пермь, ул Академика Королева, д. 14, 64	34.7 кв.м.	1 187 147 руб.
трехкомнатная квартира	59:01:2118001:328	г Пермь, ул Академика Королева, д. 14, 119	69.5 кв.м.	2 229 863 руб.
однокомнатная квартира	59:01:2118001:348	г Пермь, ул Академика Королева, д. 14, 32	35 кв.м.	1 402 214 руб.
трёхкомнатная квартира	59:01:2118001:375	г Пермь, ул Академика Королева, д. 14, 75	69.5 кв.м.	2 229 863 руб.
двухкомнатная квартира	59:01:2118001:251	г Пермь, ул Академика Королева, д. 14, 101	57.5 кв.м.	1 973 781 руб.
трехкомнатная квартира	59:01:2118001:256	г Пермь, ул Академика Королева, д. 14, 106	68.7 кв.м.	2 213 594 руб.
трёхкомнатная квартира	59:01:2118001:374	г Пермь, ул Академика Королева, д. 14, 74	68.2 кв.м.	2 203 372 руб.
квартира 	59:01:2118001:389	г Пермь, ул Академика Королева, д. 14, 89	54.7 кв.м.	1 871 382 руб.
трехкомнатная квартира	59:01:2118001:315	г Пермь, ул Академика Королева, д. 14, 98	69.1 кв.м.	2 221 741 руб.
двухкомнатная квартира	59:01:2118001:262	г Пермь, ул Академика Королева, д. 14, 133	57 кв.м.	1 962 501 руб.
трехкомнатная квартира	59:01:2118001:289	г Пермь, ул Академика Королева, д. 14, 30	70.4 кв.м.	2 248 041 руб.
квартира 	59:01:2118001:306	г Пермь, ул Академика Королева, д. 14, 69	54.3 кв.м.	1 857 697 руб.
квартира 	59:01:2118001:308	г Пермь, ул Академика Королева, д. 14, 91	68.4 кв.м.	2 340 083 руб.
квартира 	59:01:2118001:270	г Пермь, ул Академика Королева, д. 14, 141	54 кв.м.	1 842 329 руб.
трехкомнатная квартира	59:01:2118001:342	г Пермь, ул Академика Королева, д. 14, 14	67.8 кв.м.	2 195 163 руб.
газорегуляторный пункт	59:01:2118001:1577	г Пермь, ул Академика Королева, д. 14	35.6 кв.м.	479 747 руб.
квартира 	59:01:2118001:307	г Пермь, ул Академика Королева, д. 14, 70	68.6 кв.м.	2 346 925 руб.
трехкомнатная квартира	59:01:2118001:243	г Пермь, ул Академика Королева, д. 14, 110	68.3 кв.м.	2 205 419 руб.
квартира 	59:01:2118001:281	г Пермь, ул Академика Королева, д. 14, 22	79.7 кв.м.	2 719 142 руб.
квартира№	59:01:2118001:1714	г Пермь, ул Академика Королева, д. 14, 103	68.4 кв.м.	2 900 720 руб.
трехкомнатная квартира	59:01:2118001:364	г Пермь, ул Академика Королева, д. 14, 47	67 кв.м.	2 301 518 руб.
квартира 	59:01:2118001:286	г Пермь, ул Академика Королева, д. 14, 27	67.5 кв.м.	2 302 912 руб.
трехкомнатная квартира	59:01:2118001:260	г Пермь, ул Академика Королева, д. 14, 131	69 кв.м.	2 219 707 руб.
однокомнатная квартира	59:01:2118001:250	г Пермь, ул Академика Королева, д. 14, 100	37.5 кв.м.	1 473 400 руб.
квартира 	59:01:2118001:365	г Пермь, ул Академика Королева, д. 14, 48	34.8 кв.м.	1 187 279 руб.
квартира 	59:01:2118001:297	г Пермь, ул Академика Королева, д. 14, 60	34.8 кв.м.	1 190 569 руб.
квартира 	59:01:2118001:269	г Пермь, ул Академика Королева, д. 14, 140	34.7 кв.м.	1 183 867 руб.
трехкомнатная квартира	59:01:2118001:360	г Пермь, ул Академика Королева, д. 14, 43	69 кв.м.	2 219 707 руб.
четырехкомнатная квартира	59:01:2118001:344	г Пермь, ул Академика Королева, д. 14, 16	82.9 кв.м.	2 487 982 руб.
квартира 	59:01:2118001:311	г Пермь, ул Академика Королева, д. 14, 94	68.2 кв.м.	2 333 241 руб.
квартира 	59:01:2118001:390	г Пермь, ул Академика Королева, д. 14, 9	67.6 кв.м.	2 312 714 руб.
трехкомнатная квартира	59:01:2118001:295	г Пермь, ул Академика Королева, д. 14, 58	68.6 кв.м.	2 339 489 руб.
двухкомнатная квартира	59:01:2118001:322	г Пермь, ул Академика Королева, д. 14, 113	54.3 кв.м.	1 900 652 руб.
квартира 	59:01:2118001:265	г Пермь, ул Академика Королева, д. 14, 136	34.7 кв.м.	1 183 867 руб.
квартира 	59:01:2118001:300	г Пермь, ул Академика Королева, д. 14, 63	67.8 кв.м.	2 319 556 руб.
трехкомнатная квартира	59:01:2118001:332	г Пермь, ул Академика Королева, д. 14, 122	70 кв.м.	2 239 978 руб.
трехкомнатная квартира	59:01:2118001:264	г Пермь, ул Академика Королева, д. 14, 135	68.1 кв.м.	2 264 089 руб.
квартира 	59:01:2118001:280	г Пермь, ул Академика Королева, д. 14, 21	67.6 кв.м.	2 306 323 руб.
четырехкомнатная квартира	59:01:2118001:1687	г Пермь, ул Академика Королева, д. 14, 94	67 кв.м.	3 113 133 руб.
трёхкомнатная квартира	59:01:2118001:345	г Пермь, ул Академика Королева, д. 14, 2	65.8 кв.м.	2 153 712 руб.
трехкомнатная квартира	59:01:2118001:296	г Пермь, ул Академика Королева, д. 14, 59	68.8 кв.м.	2 215 633 руб.
квартира	59:01:2118001:1657	г Пермь, ул Академика Королева, д. 14, 51	66.9 кв.м.	3 027 359 руб.
квартира 	59:01:2118001:299	г Пермь, ул Академика Королева, д. 14, 62	68.6 кв.м.	2 346 925 руб.
двухкомнатная квартира	59:01:2118001:1689	г Пермь, ул Академика Королева, д. 14, 65	54.2 кв.м.	2 712 555 руб.
квартира 	59:01:2118001:287	г Пермь, ул Академика Королева, д. 14, 28	79.7 кв.м.	2 719 142 руб.
квартира 	59:01:2118001:268	г Пермь, ул Академика Королева, д. 14, 139	67.9 кв.м.	2 316 559 руб.
однокомнатная квартира	59:01:2118001:330	г Пермь, ул Академика Королева, д. 14, 120	35.8 кв.м.	1 425 248 руб.
трехкомнатная квартира	59:01:2118001:387	г Пермь, ул Академика Королева, д. 14, 87	68.4 кв.м.	2 274 067 руб.
четырехкомнатная квартира	59:01:2118001:1686	г Пермь, ул Академика Королева, д. 14, 80	103.9 кв.м.	4 069 482 руб.
квартира 	59:01:2118001:377	г Пермь, ул Академика Королева, д. 14, 77	54.7 кв.м.	1 871 382 руб.
трехкомнатная квартира	59:01:2118001:341	г Пермь, ул Академика Королева, д. 14, 130	70.1 кв.м.	2 241 996 руб.
трехкомнатная квартира	59:01:2118001:303	г Пермь, ул Академика Королева, д. 14, 66	69.3 кв.м.	2 225 806 руб.
трехкомнатная квартира	59:01:2118001:316	г Пермь, ул Академика Королева, д. 14, 99	67.6 кв.м.	2 246 326 руб.
нежилое помещение	59:01:4410135:139	г Пермь, ул Луначарского, д. 95а	39.8 кв.м.	176 995 руб.
трехкомнатная  квартира	59:01:4410135:38	г Пермь, ул Луначарского, д. 95а, 29	53.8 кв.м.	2 611 173 руб.
квартира	59:01:4410135:138	г Пермь, ул Луначарского, д. 95а, 2	39.7 кв.м.	1 764 609 руб.
встроенные помещения	59:01:4410135:132	г Пермь, ул Луначарского, д. 95а	145.5 кв.м.	647 053 руб.
индивидуальный гараж, бокс	59:01:4410135:107	г Пермь, ул Луначарского, д. 95а, 3	25 кв.м.	212 999 руб.
квартира	59:01:4410135:130	г Пермь, ул Луначарского, д. 95а, 1	32.1 кв.м.	1 426 800 руб.
нежилое помещение	59:01:4410135:87	г Пермь, ул Луначарского, д. 95а	67.8 кв.м.	301 513 руб.
двухкомнатная квартира	59:01:4410135:67	г Пермь, ул Луначарского, д. 95а, 6	39.9 кв.м.	2 128 212 руб.
трехкомнатная  квартира	59:01:4410135:43	г Пермь, ул Луначарского, д. 95а, 33	55.5 кв.м.	2 665 527 руб.
	59:01:4410135:33	г Пермь, ул Луначарского, д. 95а	32 кв.м.	142 307 руб.
двухкомнатная квартира	59:01:4410135:29	г Пермь, ул Луначарского, д. 95а, 18	40 кв.м.	2 131 968 руб.
однокомнатная квартира	59:01:4410135:48	г Пермь, ул Луначарского, д. 95а, 38	31.3 кв.м.	1 786 415 руб.
однокомнатная квартира	59:01:4410135:50	г Пермь, ул Луначарского, д. 95а, 40	31.9 кв.м.	1 811 575 руб.
квартира	59:01:4410135:136	г Пермь, ул Луначарского, д. 95а, 5	31.5 кв.м.	1 400 131 руб.
гаражный бокс	59:01:4410135:90	г Пермь, ул Луначарского, д. 95а	24.1 кв.м.	205 331 руб.
гараж-бокс	59:01:4410135:113	г Пермь, ул Луначарского, д. 95а (3)	24.1 кв.м.	432 230 руб.
