Тип	Кадастровый номер	Адрес	Площадь	Кадастровая стоимость
трехкомнатная квартира	59:01:4410004:184	г Пермь, ул Окулова, д. 6, 4	83 кв.м.	3 005 326 руб.
трехкомнатная квартира	59:01:4410004:176	г Пермь, ул Окулова, д. 6, 26	80.4 кв.м.	2 947 296 руб.
четырехкомнатная квартира	59:01:4410004:178	г Пермь, ул Окулова, д. 6, 28	92.9 кв.м.	3 213 933 руб.
трехкомнатная квартира	59:01:4410004:174	г Пермь, ул Окулова, д. 6, 24	92.6 кв.м.	3 210 940 руб.
трехкомнатная квартира	59:01:4410004:208	г Пермь, ул Окулова, д. 6, 26	80.4 кв.м.	2 947 296 руб.
четырехкомнатная квартира	59:01:4410004:197	г Пермь, ул Окулова, д. 6, 16	94 кв.м.	3 239 872 руб.
комната	59:01:4410004:1094	г Пермь, ул Окулова, д. 6, 16	26.6 кв.м.	907 405 руб.
трехкомнатная квартира	59:01:4410004:226	г Пермь, ул Окулова, д. 6, 13	81.2 кв.м.	2 831 031 руб.
четырехкомнатная квартира	59:01:4410004:225	г Пермь, ул Окулова, д. 6, 12	94.3 кв.м.	3 246 039 руб.
трехкомнатная квартира	59:01:4410004:209	г Пермь, ул Окулова, д. 6, 27	82.4 кв.м.	2 848 764 руб.
четырехкомнатная квартира	59:01:4410004:171	г Пермь, ул Окулова, д. 6, 21	91.9 кв.м.	3 135 743 руб.
четырехкомнатная квартира	59:01:4410004:195	г Пермь, ул Окулова, д. 6, 14	94.4 кв.м.	3 248 092 руб.
четырехкомнатная квартира	59:01:4410004:213	г Пермь, ул Окулова, д. 6, 30	93.6 кв.м.	3 263 356 руб.
трехкомнатная квартира	59:01:4410004:186	г Пермь, ул Окулова, д. 6, 6	82.4 кв.м.	2 850 679 руб.
трехкомнатная квартира	59:01:4410004:177	г Пермь, ул Окулова, д. 6, 27	83.2 кв.м.	3 009 746 руб.
сеть канализационная, состоящая из  смотровых колодцев	59:01:4410004:883	г Пермь, ул Окулова, д. 6	0 кв.м.	0 руб.
трехкомнатная квартира	59:01:4410004:223	г Пермь, ул Окулова, д. 6, 10	81.7 кв.м.	2 976 444 руб.
четырехкомнатная квартира	59:01:4410004:173	г Пермь, ул Окулова, д. 6, 23	95.5 кв.м.	3 270 592 руб.
