тракт. Иркутский, д. 94, Томск
тракт. Иркутский, д. 106/1, Томск
ул. Ивана Черных, д. 81/1, Томск
ул. Ивана Черных, д. 83, Томск
ул. Бела Куна, д. 22, Томск
ул. Клюева, д. 26, Томск
ул. Беринга, д. 3/1, Томск
ул. Рабочая, д. 68, Томск
ул. МПС Северный, д. 8/1, Томск
ул. Любы Шевцовой, д. 5, Томск
ул. Любы Шевцовой, д. 7, Томск
ул. Любы Шевцовой, д. 15, Томск
ул. Бирюкова, д. 24, Томск
ул. Беринга, д. 3/2, Томск
ул. Беринга, д. 5, Томск
ул. Беринга, д. 5/1, Томск
ул. Беринга, д. 5/2, Томск
ул. Беринга, д. 3, Томск
ул. Бела Куна, д. 22/2, Томск
ул. Бела Куна, д. 24/2, Томск
ул. Бела Куна, д. 26/2, Томск
ул. Бела Куна, д. 4, Томск
ул. Бела Куна, д. 6, Томск
ул. Бела Куна, д. 10, Томск
ул. Бела Куна, д. 8, Томск
ул. Ленская, д. 14, Томск
ул. Бела Куна, д. 12, Томск
ул. Бела Куна, д. 14, Томск
ул. Ленская, д. 16, Томск
ул. Бела Куна, д. 18, Томск
ул. Ленская, д. 18, Томск
ул. Кошурникова, д. 5, Томск
ул. Ивана Черных, д. 117, Томск
ул. Ивана Черных, д. 117, к. 1, Томск
ул. Ивановского, д. 3, Томск
ул. Бирюкова, д. 13, Томск
ул. Бирюкова, д. 15, Томск
тракт. Иркутский, д. 194А, Томск
ул. Ивана Черных, д. 83/1, Томск
тракт. Иркутский, д. 118/2, Томск
пер. Карский, д. 4, Томск
тракт. Иркутский, д. 122, Томск
тракт. Иркутский, д. 124, Томск
ул. Партизанская, д. 25/1, Томск
ул. Мичурина, д. 51/3, Томск
ул. Сергея Лазо, д. 34, Томск
ул. Рабочая, д. 62, Томск
ул. Клюева, д. 2, Томск
ул. Междугородная, д. 20, Томск
ул. Айвазовского, д. 31, Томск
ул. Иртышская, д. 23, Томск
ул. Водопроводная, д. 11, Томск
тракт. Иркутский, д. 126, Томск
ул. Водопроводная, д. 15, Томск
ул. Ивана Черных, д. 28, Томск
ул. Ивана Черных, д. 36, Томск
ул. Ивана Черных, д. 81, Томск
ул. Ивана Черных, д. 97/2, Томск
ул. Ивана Черных, д. 103, Томск
тракт. Иркутский, д. 33, Томск
тракт. Иркутский, д. 37, Томск
тракт. Иркутский, д. 51, Томск
тракт. Иркутский, д. 92, Томск
тракт. Иркутский, д. 96, Томск
пер. Карский, д. 13, Томск
пер. Карский, д. 31, Томск
ул. Клюева, д. 4, Томск
ул. Мичурина, д. 6А, Томск
ул. Мичурина, д. 39, Томск
ул. Мичурина, д. 41, Томск
ул. Мичурина, д. 43, Томск
ул. Мичурина, д. 79, Томск
ул. Новосибирская, д. 37, Томск
ул. Путейская, д. 11, Томск
ул. Рабочая, д. 45, Томск
ул. Рабочая, д. 64, Томск
ул. Рабочая 3-я, д. 9, Томск
ул. Сергея Лазо, д. 4, Томск
ул. Сергея Лазо, д. 16/1, Томск
ул. Сергея Лазо, д. 19, Томск
ул. Сергея Лазо, д. 30, Томск
ул. Суворова, д. 14, Томск
ул. Угрюмова Александра, д. 1/1, Томск
ул. Угрюмова Александра, д. 1/2, Томск
ул. Циолковского, д. 24, Томск
тракт. Иркутский, д. 140, Томск
ул. Лазарева, д. 2, Томск
ул. Лазарева, д. 2а, Томск
ул. Лазарева, д. 4, Томск
ул. Лазарева, д. 4а, Томск
ул. Лазарева, д. 6, Томск
ул. Лазарева, д. 6а, Томск
ул. Лазарева, д. 8, Томск
ул. Лазарева, д. 9, Томск
ул. Мичурина, д. 85, Томск
ул. Мичурина, д. 97, Томск
ул. Сергея Лазо, д. 27/3, Томск
ул. Клюева, д. 3а, Томск
п. Светлый, д. 2, Томск
п. Светлый, д. 6, Томск
п. Светлый, д. 7, Томск
п. Светлый, д. 8, Томск
п. Светлый, д. 9, Томск
п. Светлый, д. 10, Томск
п. Светлый, д. 12, Томск
п. Светлый, д. 13, Томск
п. Светлый, д. 14, Томск
п. Светлый, д. 15, Томск
п. Светлый, д. 16, Томск
п. Светлый, д. 18, Томск
п. Светлый, д. 20, Томск
п. Светлый, д. 21, Томск
п. Светлый, д. 23, Томск
п. Светлый, д. 58, Томск
п. Светлый, д. 58а, Томск
п. Светлый, д. 59, Томск
п. Светлый, д. 60, Томск
п. Светлый, д. 65, Томск
ул. Ивана Черных, д. 48, Томск
ул. Ивана Черных, д. 52, Томск
ул. Ивана Черных, д. 105, Томск
ул. Ивана Черных, д. 107/1, Томск
ул. Ивана Черных, д. 107/2, Томск
ул. Ивана Черных, д. 109/1, Томск
ул. Ивана Черных, д. 109/2, Томск
ул. Ивана Черных, д. 109/3, Томск
ул. Ивана Черных, д. 109/4, Томск
ул. Ивана Черных, д. 111, Томск
ул. Ивана Черных, д. 113, Томск
ул. Ивана Черных, д. 113а, Томск
ул. Ивана Черных, д. 115, Томск
ул. Ивана Черных, д. 125, Томск
ул. Ивана Черных, д. 50, Томск
п. Светлый, д. 11, Томск
п. Светлый, д. 19, Томск
ул. Алтайская, д. 76/1, Томск
ул. Алтайская, д. 76/2, Томск
ул. Алтайская, д. 87, Томск
ул. Алтайская, д. 89/1, Томск
ул. Алтайская, д. 105, Томск
ул. Алтайская, д. 135, Томск
ул. Алексея Беленца, д. 17, Томск
ул. Белинского, д. 30, Томск
ул. Гагарина, д. 31, Томск
ул. Герцена, д. 74, Томск
ул. Елизаровых, д. 42, Томск
ул. Елизаровых, д. 44, Томск
ул. Елизаровых, д. 48/2, Томск
ул. Елизаровых, д. 54, Томск
ул. Елизаровых, д. 70, Томск
ул. Елизаровых, д. 76, Томск
ул. Вершинина, д. 54, Томск
ул. Вершинина, д. 56, Томск
ул. Вершинина, д. 58, Томск
ул. Вершинина, д. 60, Томск
ул. Котовского, д. 4, Томск
ул. Котовского, д. 6, Томск
ул. Котовского, д. 8, Томск
ул. Котовского, д. 10, Томск
ул. Котовского, д. 26, Томск
ул. Красноармейская, д. 87, Томск
ул. Красноармейская, д. 105, Томск
ул. Кулева, д. 28, Томск
ул. Кулева, д. 32, Томск
ул. Кулева, д. 37, Томск
ул. Нахимова, д. 6, Томск
ул. Полины Осипенко, д. 3, Томск
пер. Промышленный, д. 2, Томск
пер. Промышленный, д. 4, Томск
пер. Промышленный, д. 6, Томск
пер. Промышленный, д. 8, Томск
ул. Учебная, д. 42, Томск
ул. Учебная, д. 45, Томск
ул. Учебная, д. 47, Томск
ул. Учебная, д. 50, Томск
ул. Котовского, д. 3, Томск
ул. Котовского, д. 14, Томск
ул. Красноармейская, д. 119, Томск
ул. Кулева, д. 3, Томск
ул. Нахимова, д. 4, Томск
ул. Нахимова, д. 20, Томск
ул. Полины Осипенко, д. 1, Томск
ул. Полины Осипенко, д. 23, Томск
ул. Полины Осипенко, д. 33, Томск
ул. Пирогова, д. 7, Томск
пер. Промышленный, д. 9, Томск
пер. Промышленный, д. 9, к. а, Томск
ул. Савиных, д. 13, к. а, Томск
ул. Советская, д. 99, Томск
ул. Советская, д. 114, Томск
ул. Кулагина, д. 6, Томск
ул. Кулагина, д. 15, Томск
ул. Кулагина, д. 37, Томск
пер. Музыкальный, д. 3, Томск
ул. Беринга, д. 12, Томск
ул. Александра Невского, д. 3, Томск
ул. Беринга, д. 16, Томск
ул. Беринга, д. 13, Томск
ул. Беринга, д. 13/1, Томск
ул. Беринга, д. 18/3, Томск
ул. Беринга, д. 22, Томск
ул. Грузинская, д. 1, Томск
ул. Грузинская, д. 19, Томск
ул. Иртышская, д. 21, Томск
ул. Междугородная, д. 28, Томск
ул. Мичурина, д. 51/2, Томск
ул. Мичурина, д. 51/5, Томск
ул. Мичурина, д. 53/2, Томск
ул. Мичурина, д. 55/1, Томск
ул. Мичурина, д. 59, Томск
ул. Мичурина, д. 59а, Томск
ул. Мичурина, д. 61, Томск
ул. Мичурина, д. 61а, Томск
ул. Мичурина, д. 61б, Томск
ул. Мичурина, д. 63, Томск
ул. Мичурина, д. 65, Томск
ул. Мичурина, д. 67, Томск
ул. Мичурина, д. 73, Томск
ул. Мичурина, д. 75, Томск
ул. Мичурина, д. 77, Томск
ул. Мичурина, д. 81, Томск
ул. Мичурина, д. 95, Томск
ул. Пугачева, д. 1, Томск
ул. Репина, д. 10, Томск
ул. Репина, д. 15, Томск
ул. Репина, д. 15/1, Томск
ул. Угрюмова Александра, д. 6, Томск
ул. Угрюмова Александра, д. 2а, Томск
ул. Угрюмова Александра, д. 4/1, Томск
тракт. Иркутский, д. 134, Томск
тракт. Иркутский, д. 136, Томск
тракт. Иркутский, д. 138, Томск
тракт. Иркутский, д. 142, к. 2, Томск
тракт. Иркутский, д. 142, к. 3, Томск
тракт. Иркутский, д. 144, Томск
тракт. Иркутский, д. 146, Томск
тракт. Иркутский, д. 150, Томск
тракт. Иркутский, д. 152, Томск
тракт. Иркутский, д. 154, Томск
тракт. Иркутский, д. 156, Томск
тракт. Иркутский, д. 162, Томск
тракт. Иркутский, д. 172, Томск
тракт. Иркутский, д. 174, Томск
тракт. Иркутский, д. 179, к. 1, Томск
тракт. Иркутский, д. 179, к. 2, Томск
тракт. Иркутский, д. 179, к. 3, Томск
тракт. Иркутский, д. 180, Томск
тракт. Иркутский, д. 184, Томск
тракт. Иркутский, д. 186, Томск
тракт. Иркутский, д. 190, Томск
тракт. Иркутский, д. 196, Томск
тракт. Иркутский, д. 198, Томск
тракт. Иркутский, д. 202, Томск
тракт. Иркутский, д. 204, Томск
тракт. Иркутский, д. 212, Томск
ул. Бела Куна, д. 8, к. 1, Томск
ул. Бела Куна, д. 10, к. 1, Томск
ул. Бела Куна, д. 12, к. 1, Томск
ул. Бела Куна, д. 16, к. 1, Томск
ул. Лазарева, д. 1, Томск
ул. Ивана Черных, д. 119, Томск
ул. Ивана Черных, д. 121, Томск
ул. Ивановского, д. 5, Томск
ул. Ивановского, д. 7, Томск
ул. Ивановского, д. 9, Томск
ул. Ивановского, д. 11, Томск
ул. Ивановского, д. 16, Томск
ул. Сергея Лазо, д. 10, Томск
ул. Сергея Лазо, д. 14, Томск
ул. Сергея Лазо, д. 24/2, Томск
ул. Сергея Лазо, д. 26/3, Томск
ул. Сергея Лазо, д. 28/1, Томск
ул. Сергея Лазо, д. 28/2, Томск
пер. Сергея Лазо, д. 2, Томск
пер. Сергея Лазо, д. 6/2, Томск
пер. Сергея Лазо, д. 8, Томск
пер. Сергея Лазо, д. 10, Томск
пер. Сергея Лазо, д. 10/3, Томск
ул. Дзержинского, д. 24, Томск
ул. Герцена, д. 29, Томск
ул. Дзержинского, д. 24 а, Томск
ул. Дзержинского, д. 16, Томск
ул. Дзержинского, д. 26, Томск
ул. Дзержинского, д. 51 а, Томск
ул. Енисейская, д. 3, Томск
ул. Енисейская, д. 27, Томск
пер. Ишимский, д. 5, Томск
ул. Карташова, д. 37, Томск
ул. Карташова, д. 40 а, Томск
ул. Карташова, д. 42 а, Томск
